date,isin,price
2026-04-02,ADA,0.2394
2026-09-21,ARB,0.2263
2026-04-02,ATOM,1.6654
2026-09-21,AVAX,11.2279
2026-09-21,BNB,798.8901
2026-09-21,BTC,86602.9141
2026-09-21,CRO,0.0659
2026-04-02,DOT,1.2364
2026-09-21,ETH,2776.4683
2026-04-02,ETHW,0.2476
2026-09-21,GB00BP6MXD84,40.775
2023-12-18,GLP,1.151
2026-09-22,GM-ARB,1.0128
2026-09-22,GM-BTC,2.6137
2026-09-22,GM-ETH,1.9996
2026-09-22,GM-LINK,3.1063
2026-09-22,GM-USD,1.172
2026-09-18,IE0009HF1MK9,13.442
2026-09-22,IE000OHXGWO8,4.75
2026-09-18,IE00B3FH7618,98.75
2026-09-21,LINK,13.1343
2026-09-18,LU0792910217,132.54
2026-09-18,LU0940007189,370.7
2026-09-18,LU1654174025,217.86
2026-09-18,LU1931974262,36.53
2026-09-21,NEXO,0.8771
2026-09-21,NL0010273215,1481.4
2026-09-18,NL0011225305,31.6454
2026-09-18,NL0011354865,162.45
2026-09-18,NL0011354873,252.25
2026-09-18,NL0011354972,183.6
2026-09-18,NL0011515424,21.9135
2026-09-21,NL0011872643,74.4
2026-09-18,NL0011896998,275.26
2026-09-18,NL0013552078,18.7755
2026-09-18,NL0013654742,23.2649
2026-09-18,NL0014040289,15.0381
2026-09-21,POL,0.1121
2026-09-21,SOL,118.7501
2026-09-21,US45841N1072,93.21
2026-09-21,USD_EUR,0.8711
2026-04-02,XLM,0.163
